CMD: llama-server --model /home/cmoro-deusto/Code/ai/hf/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf --alias Qwen3.8 27B Q4 --host 0.0.0.0 --ctx-size 131072 -ngl 999 -fa 1 --cache-type-k q4_0 --cache-type-v q4_0 --parallel 1 --metrics --port 8080

0.00.149.183 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.215.952 W srv  llama_server: -----------------
0.00.215.954 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.215.954 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.215.954 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.215.954 W srv  llama_server: -----------------
0.00.217.275 I srv    load_model: loading model '/home/cmoro-deusto/Code/ai/hf/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.600.290 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.600.299 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.600.303 W model has unused tensor blk.64.attn_q.weight (size = 43253760 bytes) -- ignoring
0.00.600.305 W model has unused tensor blk.64.attn_k.weight (size = 3604480 bytes) -- ignoring
0.00.600.306 W model has unused tensor blk.64.attn_v.weight (size = 4300800 bytes) -- ignoring
0.00.600.311 W model has unused tensor blk.64.attn_output.weight (size = 21626880 bytes) -- ignoring
0.00.600.313 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.600.314 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.600.316 W model has unused tensor blk.64.ffn_gate.weight (size = 47349760 bytes) -- ignoring
0.00.600.317 W model has unused tensor blk.64.ffn_down.weight (size = 61276160 bytes) -- ignoring
0.00.600.319 W model has unused tensor blk.64.ffn_up.weight (size = 61276160 bytes) -- ignoring
0.00.600.321 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.600.322 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.600.324 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.600.328 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.01.805.589 I cmn          init: llama threadpool init, n_threads = 8
0.01.861.320 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.01.864.015 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.01.864.029 I srv  llama_server: model loaded
0.01.864.031 I srv  llama_server: listening on http://0.0.0.0:8080
0.01.864.032 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.01.864.032 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.01.990.117 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.01.990.291 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.597.303 I slot print_timing: id  0 | task 0 | prompt eval time =      75.92 ms /    14 tokens (    5.42 ms per token,   184.41 tokens per second)
0.02.597.305 I slot print_timing: id  0 | task 0 |        eval time =     531.06 ms /    40 tokens (   13.62 ms per token,    73.44 tokens per second)
0.02.597.305 I slot print_timing: id  0 | task 0 |       total time =     606.98 ms /    54 tokens
0.02.597.307 I slot print_timing: id  0 | task 0 |    graphs reused =         39
0.02.597.316 I slot      release: id  0 | task 0 | stop processing: n_tokens = 53, truncated = 0
0.02.599.166 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 48801831066
0.02.636.905 I slot launch_slot_: id  0 | task 42 | processing task, is_child = 0
0.05.702.853 I slot print_timing: id  0 | task 42 | n_gen =    225, tg =  74.40 t/s, tg_3s =  74.73 t/s
0.08.065.092 I slot print_timing: id  0 | task 42 | prompt eval time =      55.24 ms /    30 tokens (    1.84 ms per token,   543.05 tokens per second)
0.08.065.093 I slot print_timing: id  0 | task 42 |        eval time =    5372.94 ms /   400 tokens (   13.47 ms per token,    74.26 tokens per second)
0.08.065.094 I slot print_timing: id  0 | task 42 |       total time =    5428.18 ms /   430 tokens
0.08.065.094 I slot print_timing: id  0 | task 42 |    graphs reused =        436
0.08.065.099 I slot      release: id  0 | task 42 | stop processing: n_tokens = 429, truncated = 0
0.08.066.889 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.070
0.08.105.736 I slot launch_slot_: id  0 | task 444 | processing task, is_child = 0
0.11.165.216 I slot print_timing: id  0 | task 444 | n_gen =    225, tg =  74.45 t/s, tg_3s =  74.79 t/s
0.12.824.655 I slot print_timing: id  0 | task 444 | prompt eval time =      50.91 ms /     4 tokens (   12.73 ms per token,    78.57 tokens per second)
0.12.824.657 I slot print_timing: id  0 | task 444 |        eval time =    4668.00 ms /   348 tokens (   13.45 ms per token,    74.34 tokens per second)
0.12.824.657 I slot print_timing: id  0 | task 444 |       total time =    4718.91 ms /   352 tokens
0.12.824.658 I slot print_timing: id  0 | task 444 |    graphs reused =        781
0.12.824.663 I slot      release: id  0 | task 444 | stop processing: n_tokens = 377, truncated = 0
0.12.826.533 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.080
0.12.879.604 I slot launch_slot_: id  0 | task 793 | processing task, is_child = 0
0.15.931.066 I slot print_timing: id  0 | task 793 | n_gen =    225, tg =  74.62 t/s, tg_3s =  74.96 t/s
0.18.282.021 I slot print_timing: id  0 | task 793 | prompt eval time =      49.66 ms /     4 tokens (   12.41 ms per token,    80.55 tokens per second)
0.18.282.022 I slot print_timing: id  0 | task 793 |        eval time =    5352.75 ms /   400 tokens (   13.42 ms per token,    74.54 tokens per second)
0.18.282.023 I slot print_timing: id  0 | task 793 |       total time =    5402.41 ms /   404 tokens
0.18.282.023 I slot print_timing: id  0 | task 793 |    graphs reused =       1178
0.18.282.028 I slot      release: id  0 | task 793 | stop processing: n_tokens = 429, truncated = 0
0.18.283.836 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.111 (> 0.100 thold), f_keep = 0.007
0.18.337.024 I slot launch_slot_: id  0 | task 1194 | processing task, is_child = 0
0.20.486.598 I slot print_timing: id  0 | task 1194 | prompt eval time =      55.28 ms /    27 tokens (    2.05 ms per token,   488.42 tokens per second)
0.20.486.600 I slot print_timing: id  0 | task 1194 |        eval time =    2094.28 ms /   157 tokens (   13.42 ms per token,    74.49 tokens per second)
0.20.486.600 I slot print_timing: id  0 | task 1194 |       total time =    2149.56 ms /   184 tokens
0.20.486.600 I slot print_timing: id  0 | task 1194 |    graphs reused =       1333
0.20.486.606 I slot      release: id  0 | task 1194 | stop processing: n_tokens = 183, truncated = 0
0.20.488.131 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.148
0.20.526.885 I slot launch_slot_: id  0 | task 1353 | processing task, is_child = 0
0.22.863.892 I slot print_timing: id  0 | task 1353 | prompt eval time =      50.85 ms /     4 tokens (   12.71 ms per token,    78.66 tokens per second)
0.22.863.894 I slot print_timing: id  0 | task 1353 |        eval time =    2286.15 ms /   171 tokens (   13.45 ms per token,    74.36 tokens per second)
0.22.863.894 I slot print_timing: id  0 | task 1353 |       total time =    2337.00 ms /   175 tokens
0.22.863.895 I slot print_timing: id  0 | task 1353 |    graphs reused =       1502
0.22.863.900 I slot      release: id  0 | task 1353 | stop processing: n_tokens = 197, truncated = 0
0.22.865.749 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.137
0.22.917.811 I slot launch_slot_: id  0 | task 1525 | processing task, is_child = 0
0.24.823.615 I slot print_timing: id  0 | task 1525 | prompt eval time =      50.98 ms /     4 tokens (   12.74 ms per token,    78.47 tokens per second)
0.24.823.616 I slot print_timing: id  0 | task 1525 |        eval time =    1854.82 ms /   139 tokens (   13.44 ms per token,    74.40 tokens per second)
0.24.823.616 I slot print_timing: id  0 | task 1525 |       total time =    1905.80 ms /   143 tokens
0.24.823.617 I slot print_timing: id  0 | task 1525 |    graphs reused =       1639
0.24.823.622 I slot      release: id  0 | task 1525 | stop processing: n_tokens = 165, truncated = 0
0.24.825.049 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.107 (> 0.100 thold), f_keep = 0.018
0.24.877.383 I slot launch_slot_: id  0 | task 1665 | processing task, is_child = 0
0.27.942.916 I slot print_timing: id  0 | task 1665 | n_gen =    225, tg =  74.40 t/s, tg_3s =  74.74 t/s
0.29.452.189 I slot print_timing: id  0 | task 1665 | prompt eval time =      54.97 ms /    28 tokens (    1.96 ms per token,   509.36 tokens per second)
0.29.452.190 I slot print_timing: id  0 | task 1665 |        eval time =    4519.83 ms /   337 tokens (   13.45 ms per token,    74.34 tokens per second)
0.29.452.191 I slot print_timing: id  0 | task 1665 |       total time =    4574.80 ms /   365 tokens
0.29.452.191 I slot print_timing: id  0 | task 1665 |    graphs reused =       1973
0.29.452.196 I slot      release: id  0 | task 1665 | stop processing: n_tokens = 364, truncated = 0
0.29.453.906 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.077
0.29.492.660 I slot launch_slot_: id  0 | task 2004 | processing task, is_child = 0
0.32.549.114 I slot print_timing: id  0 | task 2004 | n_gen =    225, tg =  74.53 t/s, tg_3s =  74.86 t/s
0.34.902.560 I slot print_timing: id  0 | task 2004 | prompt eval time =      50.79 ms /     4 tokens (   12.70 ms per token,    78.76 tokens per second)
0.34.902.561 I slot print_timing: id  0 | task 2004 |        eval time =    5359.10 ms /   400 tokens (   13.43 ms per token,    74.45 tokens per second)
0.34.902.562 I slot print_timing: id  0 | task 2004 |       total time =    5409.89 ms /   404 tokens
0.34.902.562 I slot print_timing: id  0 | task 2004 |    graphs reused =       2370
0.34.902.567 I slot      release: id  0 | task 2004 | stop processing: n_tokens = 427, truncated = 0
0.34.904.330 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.066
0.34.957.004 I slot launch_slot_: id  0 | task 2405 | processing task, is_child = 0
0.38.019.117 I slot print_timing: id  0 | task 2405 | n_gen =    225, tg =  74.36 t/s, tg_3s =  74.70 t/s
0.40.383.262 I slot print_timing: id  0 | task 2405 | prompt eval time =      49.92 ms /     4 tokens (   12.48 ms per token,    80.13 tokens per second)
0.40.383.263 I slot print_timing: id  0 | task 2405 |        eval time =    5376.33 ms /   400 tokens (   13.47 ms per token,    74.21 tokens per second)
0.40.383.263 I slot print_timing: id  0 | task 2405 |       total time =    5426.25 ms /   404 tokens
0.40.383.263 I slot print_timing: id  0 | task 2405 |    graphs reused =       2767
0.40.383.269 I slot      release: id  0 | task 2405 | stop processing: n_tokens = 427, truncated = 0
0.40.383.776 I srv    operator(): operator(): cleaning up before exit...
